Lipat_Travel_Mattress                                        ; Kasur lipat yang nyaman, sangat praktis, simple, dan mudah dibawa bepergian, dengan kemasan dalam tas yang memudahkan penyimpanan.                                                                                                                                                                          ; Kasur lipat yang nyaman, sangat praktis, simple, dan mudah dibawa bepergian, dengan kemasan dalam tas yang memudahkan penyimpanan.
INTHEBOX_Flip_Z_90x200                                       ; <div class='pdp-description'>90 x 200 x 12 cm<br>Single Size</div>                                                                                                                                                                                                                                          ; <div class='pdp-description'>90 x 200 x 12 cm<br>Single Size</div>
INTHEBOX_Flip_Z_100x200                                      ; <div class='pdp-description'>100 x 200 x 12 cm<br>Super Single Size</div>                                                                                                                                                                                                                                   ; <div class='pdp-description'>100 x 200 x 12 cm<br>Super Single Size</div>
INTHEBOX_Flip_Z_120x200                                      ; <div class='pdp-description'>120 x 200 x 12 cm<br>Full Size</div>                                                                                                                                                                                                                                           ; <div class='pdp-description'>120 x 200 x 12 cm<br>Full Size</div>
INTHEBOX_Flip_Z_140x200                                      ; <div class='pdp-description'>140 x 200 x 12 cm<br>Custom Size</div>                                                                                                                                                                                                                                         ; <div class='pdp-description'>140 x 200 x 12 cm<br>Custom Size</div>
INTHEBOX_Flip_Z_160x200                                      ; <div class='pdp-description'>160 x 200 x 12 cm<br>Queen Size</div>                                                                                                                                                                                                                                          ; <div class='pdp-description'>160 x 200 x 12 cm<br>Queen Size</div>
INTHEBOX_Flip_Z_180x200                                      ; <div class='pdp-description'>180 x 200 x 12 cm<br>King Size</div>                                                                                                                                                                                                                                           ; <div class='pdp-description'>180 x 200 x 12 cm<br>King Size</div>
INTHEBOX_Flip_Z_200x200                                      ; <div class='pdp-description'>200 x 200 x 12 cm<br>Super King Size</div>                                                                                                                                                                                                                                     ; <div class='pdp-description'>200 x 200 x 12 cm<br>Super King Size</div>
INTHEBOX_X_90x200                                            ; <div class='pdp-description'>90 x 200 x 27 cm<br><br>Kasur dengan tambahan plush top atau lapisan tambahan di bagian atas kasur, yang menambah keempukan dan kenyamanan pada kasur. Dilengkapi material premium dan desain elegan dari Raffi Ahmad.</div>                                                   ; <div class='pdp-description'>90 x 200 x 27 cm<br><br>Kasur dengan tambahan plush top atau lapisan tambahan di bagian atas kasur, yang menambah keempukan dan kenyamanan pada kasur. Dilengkapi material premium dan desain elegan dari Raffi Ahmad.</div>
INTHEBOX_X_100x200                                           ; <div class='pdp-description'>100 x 200 x 27 cm<br><br>Kasur dengan tambahan plush top atau lapisan tambahan di bagian atas kasur, yang menambah keempukan dan kenyamanan pada kasur. Dilengkapi material premium dan desain elegan dari Raffi Ahmad.</div>                                                  ; <div class='pdp-description'>100 x 200 x 27 cm<br><br>Kasur dengan tambahan plush top atau lapisan tambahan di bagian atas kasur, yang menambah keempukan dan kenyamanan pada kasur. Dilengkapi material premium dan desain elegan dari Raffi Ahmad.</div>
